# Cassini Titan flyby list
# Source: https://www.sciencedirect.com/science/article/pii/S037015731500441X
# Paper: The Interaction between Saturn's Moons and their Plasma Environments
#        Author: Sven Simon
#        Year: 2015
#        Journal: Physics Reports, vol 602
#-------------------------------------------------------------------------------------
Flyby	SLT(h)	EventTime(UTC)	Alt.(km)	Long.(deg)	Lat.(deg)	Vx	Vy	Vz	V(km/s)	Description
108TI(T52)	22.1	2009 APR 04 (094), 01:47:46	4146.6	179.3	-2.8	-3.0	0.2	-4.9	5.8	inb, southb, far side
109TI(T53)	22.0	2009 APR 20 (110), 00:20:45	3598.8	180.7	-7.7	-3.0	0.7	-4.9	5.8	inb, southb, far side
110TI(T54)	22.0	2009 MAY 05 (125), 22:54:14	3242.4	180.9	-13.8	-3.0	1.2	-4.8	5.8	inb, southb, far side
111TI(T55)	22.0	2009 MAY 21 (141), 21:26:41	965.7	180.9	-22.0	-3.1	2.0	-4.7	6.0	inb, southb, far side
112TI(T56)	21.9	2009 JUN 06 (157), 20:00:00	967.7	181.2	-32.1	-3.1	2.8	-4.3	6.0	inb, southb, far side
113TI(T57)	21.9	2009 JUN 22 (173), 18:32:35	955.1	181.4	-42.2	-3.1	3.5	-3.8	6.0	inb, southb, far side
114TI(T58)	21.8	2009 JUL 08 (189), 17:04:03	965.8	181.8	-52.2	-3.1	4.1	-3.1	6.0	inb, southb, far side
115TI(T59)	21.8	2009 JUL 24 (205), 15:34:03	956.2	182.6	-62.3	-3.0	4.6	-2.3	6.0	inb, southb, far side
116TI(T60)	21.7	2009 AUG 09 (221), 14:03:53	971.1	183.7	-72.5	-3.0	4.9	-1.5	6.0	inb, southb, far side
117TI(T61)	21.7	2009 AUG 25 (237), 12:51:37	960.7	240.3	-19.4	-2.7	5.3	-0.9	6.0	inb, southb, upstr.
119TI(T62)	21.6	2009 OCT 12 (285), 08:36:24	1299.5	71.8	-61.7	-2.5	5.4	-0.4	6.0	inb, southb, wake
122TI(T63)	17.0	2009 DEC 12 (346), 01:03:13	4847.5	120.2	33.3	-2.8	-5.0	-0.1	5.7	outb, southb, wake
123TI(T64)	17.0	2009 DEC 28 (362), 00:16:58	951.3	179.0	81.8	-3.1	-5.0	-0.7	5.9	outb, southb, far side
124TI(T65)	16.9	2010 JAN 12 (012), 23:10:35	1074.0	5.5	-81.9	-3.1	-5.0	-0.8	5.9	outb, southb, inner fl.
125TI(T66)	17.0	2010 JAN 28 (028), 22:28:49	7486.4	302.6	-52.9	-2.9	-4.9	-0.2	5.7	outb, southb, upstr.
129TI(T67)	21.1	2010 APR 05 (095), 15:50:53	7437.5	243.6	0.2	-2.5	5.1	0.0	5.7	inb, northb, upstr.
131TI(T68)	16.1	2010 MAY 20 (140), 03:24:20	1397.6	121.8	-48.9	-2.8	-5.2	0.3	5.9	outb, northb, wake
132TI(T69)	16.1	2010 JUN 05 (156), 02:26:27	2042.4	9.2	87.4	-3.0	-5.0	0.3	5.8	outb, northb, inner fl.
133TI(T70)	16.1	2010 JUN 21 (172), 01:27:43	878.1	179.8	83.4	-3.1	-5.1	-0.6	5.9	outb, southb, far side
134TI(T71)	16.1	2010 JUL 07 (188), 00:22:45	1003.7	309.1	-56.4	-2.9	-5.2	-0.7	5.9	outb, southb, upstr.
138TI(T72)	16.0	2010 SEP 24 (267), 18:38:41	8177.7	295.8	-14.9	-2.4	-5.1	-0.3	5.7	outb, southb, upstr.
140TI(T73)	15.8	2010 NOV 11 (315), 13:37:01	7925.7	113.5	-35.3	-2.3	-5.1	-0.1	5.6	outb, southb, wake
145TI(T74)	20.6	2011 FEB 18 (049), 16:04:11	3651.1	247.7	0.9	-2.2	5.3	0.0	5.8	inb, northb, upstr.
147TI(T75)	14.2	2011 APR 19 (109), 05:00:39	10052.9	111.9	0.4	-2.1	-5.2	-0.0	5.6	outb, southb, wake
148TI(T76)	19.8	2011 MAY 08 (128), 22:53:44	1872.7	251.3	0.2	-1.9	5.6	0.0	5.9	inb, northb, upstr.
149TI(T77)	12.2	2011 JUN 20 (171), 18:32:00	1358.8	110.0	0.4	-2.0	-5.5	-0.0	5.9	outb, southb, wake
153TI(T78)	17.5	2011 SEP 12 (255), 02:50:06	5821.4	65.1	-0.1	-2.4	5.3	-0.0	5.8	inb, southb, wake
158TI(T79)	12.9	2011 DEC 13 (347), 20:11:23	3583.0	295.5	7.4	-2.5	-5.2	-0.1	5.8	outb, southb, upstr.
159TI(T80)	18.6	2012 JAN 02 (002), 15:13:38	29513.7	251.4	-59.8	-2.0	5.1	0.2	5.5	inb, northb, upstr.
160TI(T81)	12.6	2012 JAN 30 (030), 13:39:48	31130.1	109.3	-59.7	-2.1	-5.0	-0.2	5.4	outb, southb, wake
161TI(T82)	18.4	2012 FEB 19 (050), 08:43:17	3803.0	65.8	9.7	-2.4	5.3	0.0	5.8	inb, northb, wake
